Name,EmpID,Gender,Education Qualification,Date of Joining,Salary (INR),Age,Leave Balance,Job Title
Employee_1,1000,Male,PhD,2019-12-23,1930952,35,5,Recruiter
Employee_2,1001,Female,Diploma,2035-07-10,2691883,33,3,UI/UX Designer
Employee_3,1002,Male,Bachelors,2013-02-09,2459489,35,5,Data Analyst
Employee_4,1003,Other,Diploma,2033-09-29,2714042,29,28,Marketing Specialist
Employee_5,1004,Female,Masters,2035-06-05,1628255,36,8,Data Analyst
Employee_6,1005,Male,Diploma,2019-11-25,379334,47,13,Data Scientist
Employee_7,1006,Other,PhD,2012-03-14,625765,49,20,Product Manager
Employee_8,1007,Female,Diploma,2015-09-18,2151779,59,1,DevOps Engineer
Employee_9,1008,Female,Masters,2030-08-27,1862254,39,21,Operations Manager
Employee_10,1009,Other,Bachelors,2033-05-07,1308308,28,14,DevOps Engineer
Employee_11,1010,Other,Diploma,2033-10-18,368554,49,22,Cloud Architect
Employee_12,1011,Male,Diploma,2036-03-10,1598998,41,24,DevOps Engineer
Employee_13,1012,Male,Diploma,2025-08-03,1961440,43,14,HR Manager
Employee_14,1013,Other,PhD,2013-06-17,2174726,38,4,Business Analyst
Employee_15,1014,Other,Masters,2018-12-07,2566005,49,0,Finance Executive
Employee_16,1015,Male,Diploma,2033-06-14,1955036,50,20,Operations Manager
Employee_17,1016,Female,Bachelors,2027-11-23,1858139,50,22,Finance Executive
Employee_18,1017,Other,Diploma,2030-08-17,2168464,56,12,Software Engineer
Employee_19,1018,Male,Bachelors,2031-06-05,2749886,42,1,DevOps Engineer
Employee_20,1019,Other,Masters,2011-08-13,1456251,46,14,DevOps Engineer
Employee_21,1020,Other,Masters,2012-10-31,2266591,34,5,Operations Manager
Employee_22,1021,Male,Masters,2037-03-21,2033578,21,5,Sales Associate
Employee_23,1022,Female,Bachelors,2017-05-13,2758804,32,6,Customer Support
Employee_24,1023,Other,Diploma,2029-02-19,1775756,26,25,DevOps Engineer
Employee_25,1024,Other,Diploma,2019-05-01,2666322,59,1,Recruiter
Employee_26,1025,Male,Diploma,2030-10-05,1055564,55,11,Customer Support
Employee_27,1026,Other,Diploma,2033-04-12,1143980,26,14,Business Analyst
Employee_28,1027,Female,Diploma,2025-09-15,742612,52,29,Software Engineer
